Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria	Organismo	Localizacion	Anio	CodigoMuestra	Sufijo	BinID	Locality	Provincia	Habitat
BPDON240904.MAGScoT_cleanbin_000001	100	1.49	Neural Network (Specific Model)	11	0.86	58897	312.3989898989899	2369794	0.35	2178	75	210323	None	Alta calidad	B	DON	2024	0904		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON240904.MAGScoT_cleanbin_000002	96.11	4.21	Neural Network (Specific Model)	11	0.786	68369	289.9544405997693	1914600	0.35	1734	88	250407	None	Alta calidad	B	DON	2024	0904		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON240905.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.821	114756	302.56132292145156	2403875	0.44	2177	32	363735	None	Alta calidad	B	DON	2024	0905		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON240905.MAGScoT_cleanbin_000002	88.73	3.12	Neural Network (Specific Model)	11	0.879	8919	315.75718194254443	1573591	0.47	1462	251	47074	None	Calidad media	B	DON	2024	0905		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON250901.MAGScoT_cleanbin_000001	100	0.1	Neural Network (Specific Model)	11	0.826	41350	299.7489655172414	2365493	0.44	2175	111	118864	None	Alta calidad	B	DON	2025	0901		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON250901.MAGScoT_cleanbin_000002	92.26	1	Neural Network (Specific Model)	11	0.867	17146	299.7846083788707	2275062	0.35	2196	192	45998	None	Alta calidad	B	DON	2025	0901		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON250902.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.823	78283	290.80049261083747	2579419	0.44	2436	64	258464	None	Alta calidad	B	DON	2025	0902		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON250902.MAGScoT_cleanbin_000002	98.45	0.88	Gradient Boost (General Model)	11	0.884	40909	310.4975778546713	1519146	0.34	1445	61	110207	None	Alta calidad	B	DON	2025	0902		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON250902.MAGScoT_cleanbin_000003	75.24	12.78	Neural Network (Specific Model)	11	0.866	4736	257.7338998211091	1994132	0.36	2236	569	27890	None	Calidad aceptable	B	DON	2025	0902		MAGScoT_cleanbin_000003	Donostia	Guipuzcoa	Urbano
BPDON250903.MAGScoT_cleanbin_000001	93.44	34.33	Neural Network (Specific Model)	11	0.844	2051	227.47715223428423	3196464	0.37	3961	1650	12245	None	Rejects	B	DON	2025	0903		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON250904.MAGScoT_cleanbin_000001	100	7.05	Neural Network (Specific Model)	11	0.797	24879	291.4927966101695	2585227	0.44	2360	313	113592	None	Calidad media	B	DON	2025	0904		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON250904.MAGScoT_cleanbin_000002	86.33	27.95	Neural Network (Specific Model)	11	0.815	2101	220.25893474752132	3507963	0.36	4337	1759	23838	None	Rejects	B	DON	2025	0904		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON250905.MAGScoT_cleanbin_000001	99.99	0.05	Neural Network (Specific Model)	11	0.883	69904	308.0965824665676	2110527	0.39	2019	57	192936	None	Alta calidad	B	DON	2025	0905		MAGScoT_cleanbin_000001	Donostia	Guipuzcoa	Urbano
BPDON250905.MAGScoT_cleanbin_000002	99.85	0.13	Neural Network (Specific Model)	11	0.884	253749	346.2532601235415	1710278	0.48	1457	11	728250	None	Alta calidad	B	DON	2025	0905		MAGScoT_cleanbin_000002	Donostia	Guipuzcoa	Urbano
BPDON250905.MAGScoT_cleanbin_000003	99.66	1.76	Neural Network (Specific Model)	11	0.829	9458	276.23028953229397	2240425	0.44	2245	327	32551	None	Alta calidad	B	DON	2025	0905		MAGScoT_cleanbin_000003	Donostia	Guipuzcoa	Urbano
BPDON250905.MAGScoT_cleanbin_000004	82.24	14.85	Neural Network (Specific Model)	11	0.894	4414	269.1655235482396	3944950	0.55	4374	985	24595	None	Calidad aceptable	B	DON	2025	0905		MAGScoT_cleanbin_000004	Donostia	Guipuzcoa	Urbano
BPDON250905.MAGScoT_cleanbin_000005	63.14	11.69	Gradient Boost (General Model)	11	0.861	2082	214.58219669777455	2078758	0.35	2786	1063	12745	None	Calidad aceptable	B	DON	2025	0905		MAGScoT_cleanbin_000005	Donostia	Guipuzcoa	Urbano
BPDON250905.MAGScoT_cleanbin_000006	56.28	3.4	Gradient Boost (General Model)	11	0.885	1818	215.39350912778903	1796347	0.48	2465	1006	10980	None	Calidad media	B	DON	2025	0905		MAGScoT_cleanbin_000006	Donostia	Guipuzcoa	Urbano
BPGAS240901.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.819	76064	296.0759662372279	2436775	0.44	2251	71	192615	None	Alta calidad	B	GAS	2024	0901		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS240901.MAGScoT_cleanbin_000002	99.31	5.04	Neural Network (Specific Model)	11	0.828	8841	281.1049153242462	2463724	0.36	2421	440	55481	None	Calidad media	B	GAS	2024	0901		MAGScoT_cleanbin_000002	Vitoria_Gasteiz	Araba	Urbano
BPGAS240901.MAGScoT_cleanbin_000003	79.89	7.72	Neural Network (Specific Model)	11	0.796	5994	252.35406698564591	2778565	0.35	2926	839	34754	None	Calidad media	B	GAS	2024	0901		MAGScoT_cleanbin_000003	Vitoria_Gasteiz	Araba	Urbano
BPGAS240903.MAGScoT_cleanbin_000001	100	4.43	Neural Network (Specific Model)	11	0.816	62081	285.6777269260107	2750367	0.43	2622	141	130153	None	Alta calidad	B	GAS	2024	0903		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS240903.MAGScoT_cleanbin_000002	95.97	1.52	Neural Network (Specific Model)	11	0.862	22874	304.76074498567334	2217383	0.35	2094	141	70331	None	Alta calidad	B	GAS	2024	0903		MAGScoT_cleanbin_000002	Vitoria_Gasteiz	Araba	Urbano
BPGAS240904.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.826	46764	297.0169114374722	2422078	0.44	2247	76	115970	None	Alta calidad	B	GAS	2024	0904		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS240904.MAGScoT_cleanbin_000002	98.3	12	Gradient Boost (General Model)	11	0.756	2817	231.33427543679343	3565593	0.37	3892	1538	15694	None	Calidad aceptable	B	GAS	2024	0904		MAGScoT_cleanbin_000002	Vitoria_Gasteiz	Araba	Urbano
BPGAS240905.MAGScoT_cleanbin_000001	99.98	0.83	Neural Network (Specific Model)	11	0.86	54187	317.74491315136476	2232462	0.35	2015	71	232567	None	Alta calidad	B	GAS	2024	0905		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS240906.MAGScoT_cleanbin_000001	99.98	0.08	Neural Network (Specific Model)	11	0.859	18486	304.00143403441683	2218391	0.35	2092	210	72770	None	Alta calidad	B	GAS	2024	0906		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS250901.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.821	101701	297.5719964664311	2458265	0.44	2264	50	296549	None	Alta calidad	B	GAS	2025	0901		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS250902.MAGScoT_cleanbin_000001	100	0.88	Neural Network (Specific Model)	11	0.819	101215	300.5201448619285	2428597	0.44	2209	44	195359	None	Alta calidad	B	GAS	2025	0902		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS250902.MAGScoT_cleanbin_000002	100	0.08	Neural Network (Specific Model)	11	0.817	58457	299.8481899571818	2823779	0.36	2569	102	148042	None	Alta calidad	B	GAS	2025	0902		MAGScoT_cleanbin_000002	Vitoria_Gasteiz	Araba	Urbano
BPGAS250903.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.821	83396	297.7238805970149	2474176	0.44	2278	55	163297	None	Alta calidad	B	GAS	2025	0903		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS250904.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.824	69022	293.4677558039553	2482224	0.44	2326	68	209515	None	Alta calidad	B	GAS	2025	0904		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS250904.MAGScoT_cleanbin_000002	92.63	2.38	Neural Network (Specific Model)	11	0.86	10622	317.62426229508196	1688117	0.48	1525	282	36382	None	Alta calidad	B	GAS	2025	0904		MAGScoT_cleanbin_000002	Vitoria_Gasteiz	Araba	Urbano
BPGAS250904.MAGScoT_cleanbin_000003	78.27	1.42	Neural Network (Specific Model)	11	0.873	7944	279.44115796098174	1522776	0.34	1589	253	44200	None	Calidad media	B	GAS	2025	0904		MAGScoT_cleanbin_000003	Vitoria_Gasteiz	Araba	Urbano
BPGAS250904.MAGScoT_cleanbin_000004	78.97	2.62	Neural Network (Specific Model)	11	0.81	4171	256.25869461648404	1989888	0.43	2099	638	21869	None	Calidad media	B	GAS	2025	0904		MAGScoT_cleanbin_000004	Vitoria_Gasteiz	Araba	Urbano
BPGAS250904.MAGScoT_cleanbin_000005	71.89	16.45	Neural Network (Specific Model)	11	0.866	5421	272.0232793522267	1859036	0.37	1976	490	30571	None	Rejects	B	GAS	2025	0904		MAGScoT_cleanbin_000005	Vitoria_Gasteiz	Araba	Urbano
BPGAS250905.MAGScoT_cleanbin_000001	100	0.15	Neural Network (Specific Model)	11	0.82	100849	297.24599393676914	2508051	0.44	2309	42	397850	None	Alta calidad	B	GAS	2025	0905		MAGScoT_cleanbin_000001	Vitoria_Gasteiz	Araba	Urbano
BPGAS250905.MAGScoT_cleanbin_000002	95.23	5.55	Gradient Boost (General Model)	11	0.785	8129	284.5038090401219	2136420	0.45	1969	581	38901	None	Calidad media	B	GAS	2025	0905		MAGScoT_cleanbin_000002	Vitoria_Gasteiz	Araba	Urbano
BPGOR241401M.MAGScoT_cleanbin_000001	99.99	1.44	Neural Network (Specific Model)	11	0.864	29888	308.0728876508821	2301828	0.36	2154	114	103856	None	Alta calidad	B	GOR	2024	1401	M	MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR241401M.MAGScoT_cleanbin_000002	99.91	0.1	Neural Network (Specific Model)	11	0.793	85939	300.8506464556398	2550608	0.44	2243	142	194588	None	Alta calidad	B	GOR	2024	1401	M	MAGScoT_cleanbin_000002	Gorbea	Vizcaya	Natural
BPGOR241407M.MAGScoT_cleanbin_000002	100	0.22	Neural Network (Specific Model)	11	0.776	24163	281.9439637412443	2640167	0.44	2427	363	110355	None	Alta calidad	B	GOR	2024	1407	M	MAGScoT_cleanbin_000002	Gorbea	Vizcaya	Natural
BPGOR241408M.MAGScoT_cleanbin_000001	99.98	0.24	Neural Network (Specific Model)	11	0.821	24437	286.5990606319385	2449450	0.44	2342	189	83846	None	Alta calidad	B	GOR	2024	1408	M	MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR241408M.MAGScoT_cleanbin_000002	99.99	59.26	Neural Network (Specific Model)	11	0.825	7902	260.45546518547906	4766972	0.35	5041	945	196355	None	Rejects	B	GOR	2024	1408	M	MAGScoT_cleanbin_000002	Gorbea	Vizcaya	Natural
BPGOR241409M.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.824	99627	299.8905043162199	2400980	0.44	2201	44	228554	None	Alta calidad	B	GOR	2024	1409	M	MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR241409M.MAGScoT_cleanbin_000002	97.05	13.01	Neural Network (Specific Model)	11	0.83	8008	266.48210023866346	2819793	0.36	2933	567	46607	None	Calidad aceptable	B	GOR	2024	1409	M	MAGScoT_cleanbin_000002	Gorbea	Vizcaya	Natural
BPGOR241410M.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.819	99861	299.15463003987594	2468898	0.44	2257	54	300478	None	Alta calidad	B	GOR	2024	1410	M	MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR241410M.MAGScoT_cleanbin_000002	98.54	0.24	Gradient Boost (General Model)	11	0.882	155286	311.3583502366464	1561834	0.34	1479	14	396016	None	Alta calidad	B	GOR	2024	1410	M	MAGScoT_cleanbin_000002	Gorbea	Vizcaya	Natural
BPGOR241410M.MAGScoT_cleanbin_000003	100	5.17	Neural Network (Specific Model)	11	0.848	13784	281.42577842143373	2744748	0.36	2762	335	47494	None	Calidad media	B	GOR	2024	1410	M	MAGScoT_cleanbin_000003	Gorbea	Vizcaya	Natural
BPGOR251401.MAGScoT_cleanbin_000001	45.71	0.38	Gradient Boost (General Model)	11	0.654	1493	187.7529411764706	1460067	0.37	1700	921	12645	None	Baja calidad	B	GOR	2025	1401		MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR251403.MAGScoT_cleanbin_000001	100	1.02	Neural Network (Specific Model)	11	0.821	82762	297.77977232924695	2483348	0.44	2284	86	151144	None	Alta calidad	B	GOR	2025	1403		MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR251403.MAGScoT_cleanbin_000002	94.65	23.81	Neural Network (Specific Model)	11	0.834	9968	280.3739208097648	3381776	0.36	3359	544	75394	None	Rejects	B	GOR	2025	1403		MAGScoT_cleanbin_000002	Gorbea	Vizcaya	Natural
BPGOR251404.MAGScoT_cleanbin_000001	99.99	0.63	Neural Network (Specific Model)	11	0.821	20574	301.9500225123818	2446403	0.36	2221	199	72802	None	Alta calidad	B	GOR	2025	1404		MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPGOR251405.MAGScoT_cleanbin_000001	96.66	7.09	Neural Network (Specific Model)	11	0.822	6342	267.6560885608856	2644641	0.36	2710	589	27352	None	Calidad media	B	GOR	2025	1405		MAGScoT_cleanbin_000001	Gorbea	Vizcaya	Natural
BPKAR240401.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.82	85828	290.8763853367434	2494014	0.44	2346	60	168325	None	Alta calidad	B	KAR	2024	0401		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR240401.MAGScoT_cleanbin_000002	99.69	1.74	Neural Network (Specific Model)	11	0.821	11378	279.7314118629908	2444437	0.35	2394	383	65998	None	Alta calidad	B	KAR	2024	0401		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR240401.MAGScoT_cleanbin_000003	78.13	2.51	Neural Network (Specific Model)	11	0.742	7005	257.7337303275202	2446670	0.36	2351	701	60334	None	Calidad media	B	KAR	2024	0401		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR240404.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.821	82956	294.88490153172864	2459911	0.44	2285	50	168325	None	Alta calidad	B	KAR	2024	0404		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR240404.MAGScoT_cleanbin_000002	88.68	2.84	Neural Network (Specific Model)	11	0.867	12361	286.8466726618705	2203889	0.36	2224	311	65998	None	Calidad media	B	KAR	2024	0404		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR240404.MAGScoT_cleanbin_000003	94.77	12.48	Gradient Boost (General Model)	11	0.782	3687	244.82435897435897	2191995	0.34	2340	823	29695	None	Calidad aceptable	B	KAR	2024	0404		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR240404.MAGScoT_cleanbin_000004	77.88	5.01	Neural Network (Specific Model)	11	0.814	10132	277.53831041257365	2080899	0.36	2036	350	60334	None	Calidad media	B	KAR	2024	0404		MAGScoT_cleanbin_000004	Karkamo	Araba	Agricola
BPKAR240405.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.824	88313	296.26468048359243	2495976	0.44	2316	62	201520	None	Alta calidad	B	KAR	2024	0405		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR240405.MAGScoT_cleanbin_000002	84.06	0.31	Neural Network (Specific Model)	11	0.88	11687	286.95737483085253	1441949	0.34	1478	158	56703	None	Calidad media	B	KAR	2024	0405		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR240405.MAGScoT_cleanbin_000003	96.23	7.33	Neural Network (Specific Model)	11	0.831	7064	270.4217713616855	2499098	0.36	2563	532	36944	None	Calidad media	B	KAR	2024	0405		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR240405.MAGScoT_cleanbin_000004	49.55	0.2	Gradient Boost (General Model)	11	0.853	2035	236.1460587326121	1072707	0.47	1294	555	6987	None	Baja calidad	B	KAR	2024	0405		MAGScoT_cleanbin_000004	Karkamo	Araba	Agricola
BPKAR240406.MAGScoT_cleanbin_000001	100	0.07	Neural Network (Specific Model)	11	0.818	86489	299.7705962676377	2411706	0.44	2197	47	196753	None	Alta calidad	B	KAR	2024	0406		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR240406.MAGScoT_cleanbin_000002	93.15	28.84	Gradient Boost (General Model)	11	0.807	4689	251.38503440366972	3253229	0.35	3488	962	60162	None	Rejects	B	KAR	2024	0406		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR240406.MAGScoT_cleanbin_000003	73.93	6.26	Neural Network (Specific Model)	11	0.819	2791	251.43514879281304	1636641	0.46	1781	682	15972	None	Calidad media	B	KAR	2024	0406		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR240406.MAGScoT_cleanbin_000004	70.35	3.89	Neural Network (Specific Model)	11	0.861	5632	259.649455234486	1906178	0.35	2111	480	46130	None	Calidad media	B	KAR	2024	0406		MAGScoT_cleanbin_000004	Karkamo	Araba	Agricola
BPKAR240406.MAGScoT_cleanbin_000005	74.16	9.13	Neural Network (Specific Model)	11	0.834	5851	249.05526315789473	2379352	0.35	2660	575	42945	None	Calidad media	B	KAR	2024	0406		MAGScoT_cleanbin_000005	Karkamo	Araba	Agricola
BPKAR240407.MAGScoT_cleanbin_000001	100	0.21	Neural Network (Specific Model)	11	0.822	87949	291.0198511166253	2563775	0.44	2418	84	202676	None	Alta calidad	B	KAR	2024	0407		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR240407.MAGScoT_cleanbin_000002	95.62	5.39	Neural Network (Specific Model)	11	0.844	7627	267.9122383252818	2361146	0.35	2484	469	36944	None	Calidad media	B	KAR	2024	0407		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR240407.MAGScoT_cleanbin_000003	86.48	29.85	Gradient Boost (General Model)	11	0.781	4082	234.8700134468848	4017327	0.36	4462	1325	41067	None	Rejects	B	KAR	2024	0407		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR250401.MAGScoT_cleanbin_000001	100	0.12	Neural Network (Specific Model)	11	0.821	98407	300.5592609283461	2432773	0.44	2219	51	256893	None	Alta calidad	B	KAR	2025	0401		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR250401.MAGScoT_cleanbin_000002	99.52	2.13	Neural Network (Specific Model)	11	0.881	50705	356.6497263487099	1550840	0.48	1279	46	103746	None	Alta calidad	B	KAR	2025	0401		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR250401.MAGScoT_cleanbin_000004	71.12	1.58	Gradient Boost (General Model)	11	0.916	2479	232.3503026967529	2760343	0.7	3634	1224	30229	None	Calidad media	B	KAR	2025	0401		MAGScoT_cleanbin_000004	Karkamo	Araba	Agricola
BPKAR250402.MAGScoT_cleanbin_000001	100	0.21	Neural Network (Specific Model)	11	0.824	83705	298.3243474540009	2533545	0.44	2337	49	299247	None	Alta calidad	B	KAR	2025	0402		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR250402.MAGScoT_cleanbin_000002	98.25	0.32	Gradient Boost (General Model)	11	0.816	87253	300.70798569725866	1851125	0.34	1678	83	151558	None	Alta calidad	B	KAR	2025	0402		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR250402.MAGScoT_cleanbin_000003	78.78	4.48	Neural Network (Specific Model)	11	0.876	5799	263.09525880817745	2069229	0.36	2299	514	55276	None	Calidad media	B	KAR	2025	0402		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR250402.MAGScoT_cleanbin_000004	68.37	2.01	Neural Network (Specific Model)	11	0.798	5116	240.74100980748275	2485359	0.4	2753	848	34821	None	Calidad media	B	KAR	2025	0402		MAGScoT_cleanbin_000004	Karkamo	Araba	Agricola
BPKAR250403.MAGScoT_cleanbin_000001	100	2.33	Neural Network (Specific Model)	11	0.831	29108	299.67376893939394	2281502	0.45	2112	185	55311	None	Alta calidad	B	KAR	2025	0403		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR250403.MAGScoT_cleanbin_000002	99.88	0.06	Neural Network (Specific Model)	11	0.809	317084	346.2825305535586	1783460	0.47	1391	52	464875	None	Alta calidad	B	KAR	2025	0403		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPKAR250403.MAGScoT_cleanbin_000003	86.37	37.82	Neural Network (Specific Model)	11	0.844	4817	252.94229804315103	3576778	0.37	3986	1017	46947	None	Rejects	B	KAR	2025	0403		MAGScoT_cleanbin_000003	Karkamo	Araba	Agricola
BPKAR250403.MAGScoT_cleanbin_000004	84.09	48.51	Gradient Boost (General Model)	11	0.818	4156	232.70420362514463	4417677	0.34	5186	1435	34883	None	Rejects	B	KAR	2025	0403		MAGScoT_cleanbin_000004	Karkamo	Araba	Agricola
BPKAR250405.MAGScoT_cleanbin_000001	77.59	6.71	Gradient Boost (General Model)	11	0.836	1675	226.54324942791763	1773804	0.38	2185	1038	15074	None	Calidad media	B	KAR	2025	0405		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR250406.MAGScoT_cleanbin_000001	100	0.21	Neural Network (Specific Model)	11	0.824	82459	296.72914911541704	2560492	0.44	2374	65	250491	None	Alta calidad	B	KAR	2025	0406		MAGScoT_cleanbin_000001	Karkamo	Araba	Agricola
BPKAR250406.MAGScoT_cleanbin_000002	86.15	10.5	Neural Network (Specific Model)	11	0.863	3341	241.63734902446575	2705854	0.36	3229	988	19860	None	Calidad aceptable	B	KAR	2025	0406		MAGScoT_cleanbin_000002	Karkamo	Araba	Agricola
BPVAL240221.MAGScoT_cleanbin_000001	88.52	10.65	Neural Network (Specific Model)	11	0.768	2725	227.36737400530504	2672393	0.36	3016	1133	19138	None	Calidad aceptable	B	VAL	2024	0221		MAGScoT_cleanbin_000001	Valderejo	Araba	Natural
BPVAL240221.MAGScoT_cleanbin_000002	87.59	4.39	Neural Network (Specific Model)	11	0.82	4346	264.61680143755615	2150661	0.45	2226	654	24611	None	Calidad media	B	VAL	2024	0221		MAGScoT_cleanbin_000002	Valderejo	Araba	Natural
BPVAL240222.MAGScoT_cleanbin_000001	99.99	1.6	Neural Network (Specific Model)	11	0.824	29709	287.1370192307692	2605078	0.44	2496	189	117411	None	Alta calidad	B	VAL	2024	0222		MAGScoT_cleanbin_000001	Valderejo	Araba	Natural
BPVAL240222.MAGScoT_cleanbin_000002	87.4	4.63	Neural Network (Specific Model)	11	0.836	6653	263.2624090006618	2850668	0.35	3022	633	40552	None	Calidad media	B	VAL	2024	0222		MAGScoT_cleanbin_000002	Valderejo	Araba	Natural
BPVAL240222.MAGScoT_cleanbin_000003	70.31	0.87	Gradient Boost (General Model)	11	0.832	2547	248.7475149105368	1350790	0.47	1509	591	12553	None	Calidad media	B	VAL	2024	0222		MAGScoT_cleanbin_000003	Valderejo	Araba	Natural
BPVAL240222.MAGScoT_cleanbin_000004	74.84	5.98	Neural Network (Specific Model)	11	0.825	7137	262.81904310753197	2014410	0.36	2111	439	34921	None	Calidad media	B	VAL	2024	0222		MAGScoT_cleanbin_000004	Valderejo	Araba	Natural
BPVAL240223.MAGScoT_cleanbin_000001	100	0.19	Neural Network (Specific Model)	11	0.82	76792	294.06858594411517	2538611	0.44	2362	65	213630	None	Alta calidad	B	VAL	2024	0223		MAGScoT_cleanbin_000001	Valderejo	Araba	Natural
BPVAL240223.MAGScoT_cleanbin_000002	98.73	0.31	Gradient Boost (General Model)	11	0.874	50872	305.8084142394822	1617040	0.34	1545	50	93962	None	Alta calidad	B	VAL	2024	0223		MAGScoT_cleanbin_000002	Valderejo	Araba	Natural
BPVAL240223.MAGScoT_cleanbin_000003	73.86	4.36	Neural Network (Specific Model)	11	0.832	2630	248.7224852071006	1512700	0.47	1690	651	11337	None	Calidad media	B	VAL	2024	0223		MAGScoT_cleanbin_000003	Valderejo	Araba	Natural
BPVAL240224.MAGScoT_cleanbin_000001	87.13	3.13	Neural Network (Specific Model)	11	0.775	3354	249.68021567814185	2326102	0.36	2411	819	17466	None	Calidad media	B	VAL	2024	0224		MAGScoT_cleanbin_000001	Valderejo	Araba	Natural
BPVAL240225.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.819	86199	292.7284157585918	2554414	0.44	2386	90	206943	None	Alta calidad	B	VAL	2024	0225		MAGScoT_cleanbin_000001	Valderejo	Araba	Natural
BPVAL240225.MAGScoT_cleanbin_000002	99.55	1.91	Neural Network (Specific Model)	11	0.826	22060	318.2099322799097	2042982	0.47	1772	268	81760	None	Alta calidad	B	VAL	2024	0225		MAGScoT_cleanbin_000002	Valderejo	Araba	Natural
BPVAL240225.MAGScoT_cleanbin_000003	100	2.89	Gradient Boost (General Model)	11	0.638	3006	226.18269468479605	4289268	0.34	4045	1452	36645	Low confidence prediction - substantial (26%) disagreement between completeness prediction models	Alta calidad	B	VAL	2024	0225		MAGScoT_cleanbin_000003	Valderejo	Araba	Natural
BPVAL240225.MAGScoT_cleanbin_000004	77.13	14.68	Neural Network (Specific Model)	11	0.84	8843	264.1633175009134	2579218	0.35	2737	491	60178	None	Calidad aceptable	B	VAL	2024	0225		MAGScoT_cleanbin_000004	Valderejo	Araba	Natural
BPVAL240225.MAGScoT_cleanbin_000005	69.72	5.95	Neural Network (Specific Model)	11	0.865	10504	282.9330227140361	1682018	0.36	1717	269	53393	None	Calidad media	B	VAL	2024	0225		MAGScoT_cleanbin_000005	Valderejo	Araba	Natural
BPVAL240225.MAGScoT_cleanbin_000006	55.29	0.65	Neural Network (Specific Model)	11	0.811	5242	254.67403896787783	1786507	0.35	1899	428	36841	None	Calidad media	B	VAL	2024	0225		MAGScoT_cleanbin_000006	Valderejo	Araba	Natural
BPVAL250101.MAGScoT_cleanbin_000001	92.95	0.97	Neural Network (Specific Model)	11	0.834	6826	278.35512195121953	2049941	0.45	2050	412	30149	None	Alta calidad	B	VAL	2025	0101		MAGScoT_cleanbin_000001	Valderejo	Araba	Natural
BPVAL250101.MAGScoT_cleanbin_000002	69.94	10.13	Neural Network (Specific Model)	11	0.88	2946	259.20665742024966	1908154	0.37	2163	739	19544	None	Calidad aceptable	B	VAL	2025	0101		MAGScoT_cleanbin_000002	Valderejo	Araba	Natural
BPVAL250101.MAGScoT_cleanbin_000003	60.72	7.3	Gradient Boost (General Model)	11	0.896	3514	259.4487767584098	1134896	0.36	1308	378	28853	None	Calidad media	B	VAL	2025	0101		MAGScoT_cleanbin_000003	Valderejo	Araba	Natural
