user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BPATZ251103__BPATZ251103.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.81	0.926	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 91.99, 0.719; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.22, 0.578; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.12, 0.78; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.5, 0.594	N/A	N/A	N/A	N/A
BPATZ251103__BPATZ251103.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	99.03	0.883	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900103085.1, s__Gilliamella mensalis, 95.0, 91.52, 0.5; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.5, 0.217; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.62, 0.214; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.81, 0.212; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 88.76, 0.338; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.43, 0.235; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 92.05, 0.49; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 89.37, 0.349; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.84, 0.209; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 86.66, 0.246	N/A	N/A	N/A	N/A
BPATZ251103__BPATZ251103.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	98.85	0.833	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPATZ251104__BPATZ251104.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.69	0.925	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.15, 0.74; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.35, 0.594; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.24, 0.803; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.54, 0.588	N/A	N/A	N/A	N/A
BPATZ251104__BPATZ251104.MAGScoT_cleanbin_000002	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001619615	GCF_001619615.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001619615	98.35	0.847	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_047238045.1, s__Microbacterium sp047238045, 95.0, 89.58, 0.319; GCF_029639405.1, s__Microbacterium sp001984105, 95.0, 89.36, 0.358; GCF_005774735.1, s__Microbacterium sp005774735, 95.0, 88.64, 0.251; GCF_004022425.1, s__Microbacterium enclense_A, 95.0, 89.1, 0.289; GCF_046064585.1, s__Microbacterium mcarthurae, 95.0, 87.94, 0.216; GCF_049739645.1, s__Microbacterium sp049739645, 95.0, 94.62, 0.684; GCF_000333395.1, s__Microbacterium sp000333395, 95.0, 94.24, 0.597; GCF_020781835.1, s__Microbacterium testaceum_H, 95.0, 89.0, 0.266; GCF_900156455.1, s__Microbacterium sp900156455, 95.0, 89.77, 0.337	N/A	N/A	N/A	N/A
BPATZ251104__BPATZ251104.MAGScoT_cleanbin_000003	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes	GCF_000215745.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes	96.66	0.762	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000828055.2, s__Klebsiella variicola, 95.0, 91.11, 0.208; GCF_020525925.1, s__Klebsiella quasipneumoniae, 95.0, 90.4, 0.19; GCA_029027985.1, s__Klebsiella aerogenes_A, 95.0, 91.38, 0.333; GCF_020526085.1, s__Klebsiella africana, 95.17, 90.51, 0.196; GCF_002269255.1, s__Klebsiella quasivariicola, 95.0, 91.17, 0.19; GCA_902490055.1, s__Klebsiella sp902490055, 95.0, 91.75, 0.316; GCF_000742135.1, s__Klebsiella pneumoniae, 95.0, 90.4, 0.202	N/A	N/A	N/A	N/A
BPATZ251105__BPATZ251105.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.79	0.869	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.37, 0.682; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.67, 0.551; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.64, 0.586; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.12, 0.753	N/A	N/A	N/A	N/A
BPATZ251105__BPATZ251105.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.75	0.785	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900094945.1, s__Gilliamella bombicola, 95.0, 91.91, 0.412; GCF_900103255.1, s__Gilliamella bombi, 95.0, 87.61, 0.217; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 87.04, 0.221; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.68, 0.577; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.96, 0.416; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 90.51, 0.418; GCF_900094935.1, s__Gilliamella intestini, 95.23, 87.18, 0.179; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 87.13, 0.153	N/A	N/A	N/A	N/A
BPBIL240818M__BPBIL240818M.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.34	0.946	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.39, 0.588; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 91.77, 0.739; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.53, 0.597; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 93.95, 0.789	N/A	N/A	N/A	N/A
BPBIL240818M__BPBIL240818M.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella variigena	GCF_003610915.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella variigena	97.59	0.91	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_019049625.1, s__Rahnella ecdela, 95.0, 91.45, 0.687; GCF_011065485.1, s__Rahnella contaminans, 95.0, 87.16, 0.448; GCA_013457415.1, s__Rahnella sp013457415, 95.0, 85.44, 0.328; GCF_047784855.1, s__Rahnella sp047784855, 95.0, 86.1, 0.392; GCF_004330295.1, s__Rahnella victoriana, 95.0, 89.51, 0.591; GCF_002834385.1, s__Rahnella sp002834385, 95.0, 86.27, 0.383; GCF_015644585.1, s__Rahnella laticis, 95.0, 86.54, 0.413; GCF_000241955.1, s__Rahnella aquatilis, 95.0, 88.36, 0.509; GCF_003263515.1, s__Rahnella inusitata, 95.0, 85.88, 0.375; GCF_019049655.1, s__Rahnella rivi, 95.0, 86.77, 0.397; GCF_019049675.1, s__Rahnella bonaserana, 95.0, 93.94, 0.826; GCF_003602095.1, s__Rahnella woolbedingensis, 95.0, 90.93, 0.653; GCF_002951615.1, s__Rahnella sikkimica, 95.0, 86.38, 0.395; GCF_046449555.1, s__Rahnella selenatireducens, 95.02, 86.32, 0.389; GCF_003614975.1, s__Rahnella bruchi, 95.0, 90.95, 0.675; GCF_011684115.1, s__Rahnella aceris, 95.0, 88.99, 0.578; GCF_019049755.1, s__Rahnella perminowiae, 95.0, 88.17, 0.458; GCF_965118895.1, s__Rahnella inusitata_A, 95.0, 85.47, 0.358	N/A	N/A	N/A	N/A
BPBIL240818M__BPBIL240818M.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	98.73	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPBIL240818M__BPBIL240818M.MAGScoT_cleanbin_000004	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus bombicola	GCF_900112665.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus bombicola	97.26	0.862	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPBIL240818M__BPBIL240818M.MAGScoT_cleanbin_000005	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans	GCF_001598475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans	98.49	0.903	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_037152305.1, s__Pantoea sp037152305, 95.0, 91.25, 0.649; GCF_019880205.1, s__Pantoea alfalfae, 95.0, 91.56, 0.677; GCF_006494375.1, s__Pantoea anthophila, 95.0, 89.67, 0.528; GCF_009646115.1, s__Pantoea eucalypti, 95.0, 90.71, 0.641; GCF_040783975.1, s__Pantoea sp003236715, 95.0, 89.81, 0.561; GCF_050157905.1, s__Pantoea sp050157905, 95.0, 88.71, 0.489; GCF_051336815.1, s__Pantoea sp051336815, 95.0, 89.24, 0.504; GCA_009830035.1, s__Pantoea sp009830035, 95.0, 87.09, 0.283; GCF_048515925.1, s__Pantoea sp048515925, 95.0, 91.91, 0.709; GCF_022647325.1, s__Pantoea deleyi, 95.0, 89.54, 0.509; GCA_002419935.1, s__Pantoea rara, 95.0, 91.32, 0.709; GCA_002434205.1, s__Pantoea astica, 95.0, 88.14, 0.421; GCF_032114055.1, s__Pantoea sp032114055, 95.0, 89.06, 0.504; GCF_030062155.1, s__Pantoea sp030062155, 95.0, 91.56, 0.687; GCF_004792415.1, s__Pantoea vagans, 95.0, 91.22, 0.67; GCA_002095305.1, s__Pantoea brenneri, 95.0, 87.87, 0.378; GCF_008632075.1, s__Pantoea gossypiicola, 95.0, 90.66, 0.632; GCF_002095315.1, s__Pantoea conspicua, 95.0, 87.99, 0.399; GCF_029844725.1, s__Pantoea sp029844725, 95.0, 90.76, 0.63; GCF_900115075.1, s__Pantoea varia, 95.0, 92.21, 0.715	N/A	N/A	N/A	N/A
BPBIL240818M__BPBIL240818M.MAGScoT_cleanbin_000006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	98.68	0.651	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.56, 0.485; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.49, 0.238; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 85.84, 0.164; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 86.57, 0.227; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.75, 0.379; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 89.57, 0.378; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.2, 0.232; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.44, 0.218; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.2, 0.198; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 95.07, 0.515; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.38, 0.205	N/A	N/A	N/A	N/A
BPBIL240820M__BPBIL240820M.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.71	0.911	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 91.84, 0.706; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.44, 0.606; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.34, 0.567; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.12, 0.755	N/A	N/A	N/A	N/A
BPBIL240820M__BPBIL240820M.MAGScoT_cleanbin_000002	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Xylocopilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Xylocopilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.49	11	0.99048	N/A
BPBIL240820M__BPBIL240820M.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	98.84	0.878	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPBIL240820M__BPBIL240820M.MAGScoT_cleanbin_000004	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.47	11	0.99048	N/A
BPBIL240820M__BPBIL240820M.MAGScoT_cleanbin_000005	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.64	0.777	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900103255.1, s__Gilliamella bombi, 95.0, 87.21, 0.213; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.96, 0.183; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.88, 0.409; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 91.04, 0.408; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 87.24, 0.154; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.99, 0.172; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 92.77, 0.553; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 89.92, 0.395	N/A	N/A	N/A	N/A
BPBIL240820M__BPBIL240820M.MAGScoT_cleanbin_000006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	97.77	0.765	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 85.56, 0.183; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 91.83, 0.586; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.41, 0.257; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.61, 0.443; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 86.33, 0.275; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.08, 0.298; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.27, 0.234; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 92.92, 0.554; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.27, 0.259; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 97.39, 0.644; GCF_900103255.1, s__Gilliamella bombi, 95.0, 87.57, 0.301	N/A	N/A	N/A	N/A
BPBIL240821M__BPBIL240821M.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.75	0.908	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 93.98, 0.757; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.11, 0.7; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.55, 0.594; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.63, 0.569	N/A	N/A	N/A	N/A
BPBIL240821M__BPBIL240821M.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.94	0.901	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.75, 0.297; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 85.44, 0.173; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 91.36, 0.492; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 85.33, 0.198; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.56, 0.305; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 85.43, 0.205; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.4, 0.226; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.6, 0.654; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 90.18, 0.499; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.06, 0.248; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.54, 0.513	N/A	N/A	N/A	N/A
BPBIL250801__BPBIL250801.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.86	0.868	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.07, 0.692; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.51, 0.552; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.12, 0.755; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.47, 0.581	N/A	N/A	N/A	N/A
BPBIL250801__BPBIL250801.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella sp009795885	GCF_009795885.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella sp009795885	98.45	0.756	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 87.45, 0.238; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 93.97, 0.581; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.9, 0.277; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 92.96, 0.488; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 86.36, 0.212; GCF_900094935.1, s__Gilliamella intestini, 95.23, 86.57, 0.229; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 85.89, 0.197; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.8, 0.448; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.63, 0.27; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 85.93, 0.2; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 93.56, 0.597	N/A	N/A	N/A	N/A
BPBIL250804__BPBIL250804.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.75	0.896	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.25, 0.762; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.4, 0.584; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.38, 0.566; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.37, 0.707	N/A	N/A	N/A	N/A
BPBIL250804__BPBIL250804.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.96	0.926	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900094935.1, s__Gilliamella intestini, 95.23, 85.43, 0.318; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 93.84, 0.722; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 90.83, 0.529; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 85.15, 0.296; GCF_001690355.1, s__Gilliamella apicola_A, 95.0, 84.04, 0.159; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 84.04, 0.235; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 90.13, 0.62; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 90.3, 0.604; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 84.55, 0.266; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 85.92, 0.373; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.65, 0.374; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 84.84, 0.265	N/A	N/A	N/A	N/A
BPBIL250805__BPBIL250805.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.73	0.882	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.25, 0.782; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.62, 0.559; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.65, 0.6; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.28, 0.709	N/A	N/A	N/A	N/A
